#X	Y	log2	log10
2	1	0	0
3	2	1	0.30103
5	2	1	0.30103
7	3	1.58496	0.477121
11	3	1.58496	0.477121
13	3	1.58496	0.477121
17	2	1	0.30103
19	3	1.58496	0.477121
23	4	2	0.60206
29	4	2	0.60206
31	5	2.32193	0.69897
37	3	1.58496	0.477121
41	3	1.58496	0.477121
43	4	2	0.60206
47	5	2.32193	0.69897
53	4	2	0.60206
59	5	2.32193	0.69897
61	5	2.32193	0.69897
67	3	1.58496	0.477121
71	4	2	0.60206
73	3	1.58496	0.477121
79	5	2.32193	0.69897
83	4	2	0.60206
89	4	2	0.60206
97	3	1.58496	0.477121
101	4	2	0.60206
103	5	2.32193	0.69897
107	5	2.32193	0.69897
109	5	2.32193	0.69897
113	4	2	0.60206
127	7	2.80735	0.845098
131	3	1.58496	0.477121
137	3	1.58496	0.477121
139	4	2	0.60206
149	4	2	0.60206
151	5	2.32193	0.69897
157	5	2.32193	0.69897
163	4	2	0.60206
167	5	2.32193	0.69897
173	5	2.32193	0.69897
179	5	2.32193	0.69897
181	5	2.32193	0.69897
191	7	2.80735	0.845098
193	3	1.58496	0.477121
197	4	2	0.60206
199	5	2.32193	0.69897
211	5	2.32193	0.69897
223	7	2.80735	0.845098
227	5	2.32193	0.69897
229	5	2.32193	0.69897
233	5	2.32193	0.69897
239	7	2.80735	0.845098
241	5	2.32193	0.69897
251	7	2.80735	0.845098
257	2	1	0.30103
263	4	2	0.60206
269	4	2	0.60206
271	5	2.32193	0.69897
277	4	2	0.60206
281	4	2	0.60206
283	5	2.32193	0.69897
293	4	2	0.60206
307	5	2.32193	0.69897
311	6	2.58496	0.778151
313	5	2.32193	0.69897
317	6	2.58496	0.778151
331	5	2.32193	0.69897
337	4	2	0.60206
347	6	2.58496	0.778151
349	6	2.58496	0.778151
353	4	2	0.60206
359	6	2.58496	0.778151
367	7	2.80735	0.845098
373	6	2.58496	0.778151
379	7	2.80735	0.845098
383	8	3	0.90309
389	4	2	0.60206
397	5	2.32193	0.69897
401	4	2	0.60206
409	5	2.32193	0.69897
419	5	2.32193	0.69897
421	5	2.32193	0.69897
431	7	2.80735	0.845098
433	5	2.32193	0.69897
439	7	2.80735	0.845098
443	7	2.80735	0.845098
449	4	2	0.60206
457	5	2.32193	0.69897
461	6	2.58496	0.778151
463	7	2.80735	0.845098
467	6	2.58496	0.778151
479	8	3	0.90309
487	7	2.80735	0.845098
491	7	2.80735	0.845098
499	7	2.80735	0.845098
503	8	3	0.90309
509	8	3	0.90309
521	3	1.58496	0.477121
523	4	2	0.60206
541	5	2.32193	0.69897
547	4	2	0.60206
557	5	2.32193	0.69897
563	5	2.32193	0.69897
569	5	2.32193	0.69897
571	6	2.58496	0.778151
577	3	1.58496	0.477121
587	5	2.32193	0.69897
593	4	2	0.60206
599	6	2.58496	0.778151
601	5	2.32193	0.69897
607	7	2.80735	0.845098
613	5	2.32193	0.69897
617	5	2.32193	0.69897
619	6	2.58496	0.778151
631	7	2.80735	0.845098
641	3	1.58496	0.477121
643	4	2	0.60206
647	5	2.32193	0.69897
653	5	2.32193	0.69897
659	5	2.32193	0.69897
661	5	2.32193	0.69897
673	4	2	0.60206
677	5	2.32193	0.69897
683	6	2.58496	0.778151
691	6	2.58496	0.778151
701	7	2.80735	0.845098
709	5	2.32193	0.69897
719	7	2.80735	0.845098
727	7	2.80735	0.845098
733	7	2.80735	0.845098
739	6	2.58496	0.778151
743	7	2.80735	0.845098
751	8	3	0.90309
757	7	2.80735	0.845098
761	7	2.80735	0.845098
769	3	1.58496	0.477121
773	4	2	0.60206
787	5	2.32193	0.69897
797	6	2.58496	0.778151
809	5	2.32193	0.69897
811	6	2.58496	0.778151
821	6	2.58496	0.778151
823	7	2.80735	0.845098
827	7	2.80735	0.845098
829	7	2.80735	0.845098
839	6	2.58496	0.778151
853	6	2.58496	0.778151
857	6	2.58496	0.778151
859	7	2.80735	0.845098
863	8	3	0.90309
877	7	2.80735	0.845098
881	6	2.58496	0.778151
883	7	2.80735	0.845098
887	8	3	0.90309
907	6	2.58496	0.778151
911	7	2.80735	0.845098
919	7	2.80735	0.845098
929	5	2.32193	0.69897
937	6	2.58496	0.778151
941	7	2.80735	0.845098
947	7	2.80735	0.845098
953	7	2.80735	0.845098
967	7	2.80735	0.845098
971	7	2.80735	0.845098
977	6	2.58496	0.778151
983	8	3	0.90309
991	9	3.16993	0.954243
997	7	2.80735	0.845098
1009	7	2.80735	0.845098
1013	8	3	0.90309
1019	9	3.16993	0.954243
1021	9	3.16993	0.954243
1031	4	2	0.60206
1033	3	1.58496	0.477121
1039	5	2.32193	0.69897
1049	4	2	0.60206
1051	5	2.32193	0.69897
1061	4	2	0.60206
1063	5	2.32193	0.69897
1069	5	2.32193	0.69897
1087	7	2.80735	0.845098
1091	4	2	0.60206
1093	4	2	0.60206
1097	4	2	0.60206
1103	6	2.58496	0.778151
1109	5	2.32193	0.69897
1117	6	2.58496	0.778151
1123	5	2.32193	0.69897
1129	5	2.32193	0.69897
1151	8	3	0.90309
1153	3	1.58496	0.477121
1163	5	2.32193	0.69897
1171	5	2.32193	0.69897
1181	6	2.58496	0.778151
1187	5	2.32193	0.69897
1193	5	2.32193	0.69897
1201	5	2.32193	0.69897
1213	7	2.80735	0.845098
1217	4	2	0.60206
1223	6	2.58496	0.778151
1229	6	2.58496	0.778151
1231	7	2.80735	0.845098
1237	6	2.58496	0.778151
1249	5	2.32193	0.69897
1259	7	2.80735	0.845098
